BuildingType,PrimaryPropertyType,Neighborhood,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),UsageComplexity,HasNaturalGas,HasSteam,DensityPerFloor,IsLargeBuilding,IsDowntown
Nonresidential COS,Other,DELRIDGE,1,113780,113780,"Office, Other - Services",Other - Services,91532.0,Office,22248.0,,,3574542.25,2,1,0,113780.0,1,0
NonResidential,Warehouse,GREATER DUWAMISH,1,243044,243044,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,325424.0,,,,,1396082.25,1,1,0,243044.0,1,0
NonResidential,Other,LAKE UNION,3,280252,123940,"Office, Parking, Retail Store",Parking,156312.0,Office,116440.0,Retail Store,7500.0,11521702.0,3,0,0,41313.333333333336,1,0
NonResidential,Other,MAGNOLIA / QUEEN ANNE,3,66462,53464,"Other, Parking",Other,72000.0,Parking,15000.0,,,6876439.5,2,0,0,17821.333333333332,1,0
NonResidential,Retail Store,NORTHWEST,1,131387,131387,Retail Store,Retail Store,107931.0,,,,,8773058.0,1,1,0,131387.0,1,0
NonResidential,Warehouse,NORTHWEST,3,94400,94400,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,67155.0,,,,,784364.5,1,1,0,31466.666666666668,1,0
NonResidential,Other,NORTHWEST,1,111900,111900,"Parking, Strip Mall",Strip Mall,124231.0,Parking,0.0,,,9814820.0,2,1,0,111900.0,1,0
NonResidential,Supermarket / Grocery Store,NORTHWEST,1,144776,144776,Wholesale Club/Supercenter,Wholesale Club/Supercenter,144776.0,,,,,13424079.0,1,1,0,144776.0,1,0
NonResidential,Retail Store,NORTHWEST,1,114000,114000,"Retail Store, Supermarket/Grocery Store",Retail Store,57805.0,Supermarket/Grocery Store,56312.0,,,17225444.0,2,1,0,114000.0,1,0
NonResidential,Supermarket / Grocery Store,NORTHWEST,1,50083,50083,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,50065.0,Parking,0.0,,,8663691.0,2,1,0,50083.0,1,0
NonResidential,Large Office,LAKE UNION,3,124071,95426,Office,Office,96504.0,,,,,4991360.5,1,1,0,31808.666666666668,1,0
NonResidential,Small- and Mid-Sized Office,LAKE UNION,4,90000,53472,Office,Office,90000.0,,,,,3897738.0,1,0,0,13368.0,1,0
NonResidential,Small- and Mid-Sized Office,LAKE UNION,3,96041,62332,"Office, Parking",Office,62232.0,Parking,33709.0,,,5413418.0,2,0,0,20777.33333333333,1,0
NonResidential,Large Office,LAKE UNION,3,280957,166128,"Data Center, Office, Parking, Restaurant",Office,152579.0,Parking,93893.0,Data Center,7500.0,11325513.0,4,1,0,55376.0,1,0
NonResidential,Large Office,LAKE UNION,4,243334,140302,"Office, Parking",Office,138995.0,Parking,24549.0,,,8651835.0,2,1,0,35075.5,1,0
NonResidential,Mixed Use Property,DOWNTOWN,6,154660,154660,"Data Center, Library, Non-Refrigerated Warehouse, Office, Other - Entertainment/Public Assembly, Other - Recreation, Other - Services, Restaurant, Social/Meeting Hall",Other - Entertainment/Public Assembly,119815.0,Other - Recreation,63101.0,Social/Meeting Hall,26380.0,52960796.0,9,1,1,25776.666666666668,1,1
NonResidential,Large Office,GREATER DUWAMISH,5,390295,268920,"Office, Parking",Office,243018.0,Parking,108408.0,,,7683885.0,2,0,0,53784.0,1,0
NonResidential,Warehouse,GREATER DUWAMISH,2,90000,90000,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,70000.0,Office,20000.0,,,1429146.375,2,1,0,45000.0,1,0
NonResidential,Retail Store,GREATER DUWAMISH,1,50200,50200,Retail Store,Retail Store,50200.0,,,,,1047461.0,1,1,0,50200.0,1,0
NonResidential,Small- and Mid-Sized Office,BALLARD,6,94033,87833,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking, Retail Store",Office,53993.0,Retail Store,24744.0,Parking,4500.0,4758198.0,5,1,0,14638.833333333334,1,0
NonResidential,Warehouse,BALLARD,2,63240,63240,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,63240.0,,,,,227566.7031,1,1,0,31620.0,1,0
NonResidential,Other,BALLARD,5,322869,140415,"Parking, Retail Store",Parking,182454.0,Retail Store,130744.0,,,17085344.0,2,1,0,28083.0,1,0
NonResidential,Self-Storage Facility,MAGNOLIA / QUEEN ANNE,4,130293,106893,"Parking, Self-Storage Facility",Self-Storage Facility,130293.0,Parking,8800.0,,,465533.3125,2,0,0,26723.25,1,0
NonResidential,Warehouse,MAGNOLIA / QUEEN ANNE,4,106041,106041,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,106041.0,,,,,1123943.0,1,1,0,26510.25,1,0
NonResidential,Self-Storage Facility,MAGNOLIA / QUEEN ANNE,3,94470,94470,Self-Storage Facility,Self-Storage Facility,94470.0,,,,,1000796.875,1,1,0,31490.0,1,0
NonResidential,Large Office,DOWNTOWN,10,181694,143508,"Office, Other, Parking",Office,150840.0,Parking,26946.0,Other,2155.0,7637986.0,3,0,0,14350.8,1,1
NonResidential,Retail Store,NORTHEAST,2,69492,69492,Retail Store,Retail Store,69800.0,Other,0.0,,,318962.8125,1,0,0,34746.0,1,0
NonResidential,Warehouse,GREATER DUWAMISH,1,22780,22780,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,22780.0,,,,,402051.3125,1,0,0,22780.0,0,0
NonResidential,Distribution Center,GREATER DUWAMISH,1,124472,124472,"Distribution Center, Parking",Distribution Center,124423.0,Parking,0.0,,,5464762.0,2,1,0,124472.0,1,0
NonResidential,Large Office,DOWNTOWN,22,227556,129000,"Office, Parking",Office,227556.0,Parking,77887.79688,,,8493420.0,2,0,0,5863.636363636364,1,1
NonResidential,Distribution Center,GREATER DUWAMISH,1,50065,50065,"Distribution Center, Parking",Distribution Center,49918.0,Parking,0.0,,,1529510.25,2,1,0,50065.0,1,0
NonResidential,Distribution Center,GREATER DUWAMISH,1,57540,57540,Distribution Center,Distribution Center,57540.0,,,,,2582687.0,1,1,0,57540.0,1,0
NonResidential,Warehouse,GREATER DUWAMISH,1,85400,85400,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,85400.0,,,,,1536998.25,1,0,0,85400.0,1,0
NonResidential,Warehouse,GREATER DUWAMISH,1,55700,55700,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,55700.0,,,,,519806.0938,1,0,0,55700.0,1,0
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1,53250,53250,"Office, Parking",Office,52759.0,Parking,0.0,,,1794187.25,2,1,0,53250.0,1,0
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,6,78672,50245,Office,Office,78672.0,,,,,2179719.75,1,1,0,8374.166666666666,1,0
NonResidential,Warehouse,NORTHWEST,3,64660,64660,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,64660.0,,,,,325513.0,1,1,0,21553.33333333333,1,0
NonResidential,Mixed Use Property,EAST,2,75844,55916,"Office, Other, Parking",Other,28442.0,Office,28441.0,Parking,18961.0,3684188.5,3,1,0,27958.0,1,0
NonResidential,Distribution Center,GREATER DUWAMISH,1,161678,161678,Distribution Center,Distribution Center,162425.0,,,,,9357230.0,1,1,0,161678.0,1,0
NonResidential,Distribution Center,GREATER DUWAMISH,1,101101,101101,Distribution Center,Distribution Center,101101.0,,,,,21795830.0,1,1,0,101101.0,1,0
NonResidential,Distribution Center,GREATER DUWAMISH,1,52613,52613,Distribution Center,Distribution Center,59504.0,,,,,1061458.25,1,1,0,52613.0,1,0
NonResidential,Other,GREATER DUWAMISH,1,56608,56608,"Office, Other",Other,45340.0,Office,11520.0,,,5094197.0,2,1,0,56608.0,1,0
NonResidential,Refrigerated Warehouse,GREATER DUWAMISH,1,104099,104099,"Office, Parking, Refrigerated Warehouse",Refrigerated Warehouse,100000.0,Office,4099.0,Parking,0.0,17695420.0,3,1,0,104099.0,1,0
NonResidential,Supermarket / Grocery Store,NORTHWEST,1,58184,50734,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,51722.0,Parking,0.0,,,14715262.0,2,1,0,50734.0,1,0
NonResidential,Supermarket / Grocery Store,NORTH,1,58480,58480,Supermarket/Grocery Store,Supermarket/Grocery Store,44431.0,,,,,11054535.0,1,1,0,58480.0,1,0
NonResidential,Large Office,LAKE UNION,6,336700,211900,"Office, Parking, Retail Store",Office,217977.0,Parking,4569.0,Retail Store,0.0,9058916.0,3,0,0,35316.666666666664,1,0
NonResidential,Retail Store,LAKE UNION,4,264008,104014,Retail Store,Retail Store,98863.0,,,,,9937707.0,1,1,0,26003.5,1,0
NonResidential,Small- and Mid-Sized Office,CENTRAL,2,62220,62220,"Office, Other - Services, Parking",Office,60676.0,Parking,13780.0,Other - Services,1324.0,5444253.5,3,1,0,31110.0,1,0
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1,65430,65430,"Office, Other",Office,60732.0,Other,8142.0,,,3181045.5,2,1,0,65430.0,1,0
NonResidential,Large Office,NORTHEAST,3,102290,59850,"Office, Parking",Office,83715.0,Parking,18575.0,,,6062770.5,2,1,0,19950.0,1,0
NonResidential,Other,CENTRAL,3,80004,80004,Other,Other,74864.0,,,,,12232124.0,1,0,0,26668.0,1,0
NonResidential,Warehouse,GREATER DUWAMISH,2,323916,323916,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,263528.0,Office,60388.0,,,8024064.5,2,1,0,161958.0,1,0
NonResidential,Mixed Use Property,GREATER DUWAMISH,14,304052,304052,"Medical Office, Office, Parking",Office,218918.0,Parking,156487.0,Medical Office,84051.89844,21027396.0,3,1,0,21718.0,1,0
NonResidential,Small- and Mid-Sized Office,LAKE UNION,4,85385,54175,"Data Center, Office, Parking",Office,50235.0,Parking,25525.0,Data Center,2875.0,4855036.5,3,0,0,13543.75,1,0
NonResidential,Distribution Center,GREATER DUWAMISH,2,98024,98024,"Distribution Center, Office",Distribution Center,63896.0,Office,33712.0,,,1988334.5,2,1,0,49012.0,1,0
NonResidential,Mixed Use Property,LAKE UNION,1,65000,50000,"Office, Other, Parking",Office,20000.0,Parking,15000.0,Other,10000.0,2603931.25,3,1,0,50000.0,1,0
NonResidential,Large Office,LAKE UNION,5,144573,77953,"Office, Parking",Office,78521.0,Parking,66650.0,,,5135040.0,2,0,0,15590.6,1,0
NonResidential,Retail Store,NORTH,2,302812,302812,Retail Store,Retail Store,302812.0,,,,,7290824.5,1,1,0,151406.0,1,0
NonResidential,Small- and Mid-Sized Office,NORTHWEST,5,86400,86400,Office,Office,78200.0,,,,,9080022.0,1,1,0,17280.0,1,0
NonResidential,Other,North,2,98539,98539,Strip Mall,Strip Mall,98539.0,,,,,5450441.5,1,1,0,49269.5,1,0
NonResidential,Small- and Mid-Sized Office,NORTHWEST,6,86483,86483,"Office, Parking",Office,86483.0,Parking,0.0,,,6361236.5,2,0,0,14413.833333333334,1,0
NonResidential,Distribution Center,DELRIDGE,1,51600,51600,"Distribution Center, Office",Distribution Center,34400.0,Office,17200.0,,,1124543.125,2,1,0,51600.0,1,0
NonResidential,Warehouse,DELRIDGE,1,140520,140520,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,140520.0,,,,,2225512.0,1,1,0,140520.0,1,0
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,5,154029,91649,"Office, Parking",Office,91645.0,Parking,66288.0,,,4636396.5,2,1,0,18329.8,1,0
NonResidential,Other,NORTHWEST,3,161789,69854,"Medical Office, Parking",Parking,91935.0,Medical Office,69854.0,,,6963616.5,2,1,0,23284.666666666668,1,0
NonResidential,Medical Office,NORTHWEST,3,63909,63909,"Medical Office, Retail Store",Medical Office,60670.0,Retail Store,3239.0,,,4765753.5,2,0,0,21303.0,1,0
NonResidential,Warehouse,NORTHWEST,2,53472,53472,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,46846.0,Office,10033.0,,,971155.625,2,1,0,26736.0,1,0
NonResidential,Warehouse,GREATER DUWAMISH,1,50417,50417,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,50417.0,,,,,1847401.0,1,1,0,50417.0,1,0
NonResidential,Restaurant,DOWNTOWN,1,43728,43728,Restaurant,Restaurant,43728.0,,,,,11508035.0,1,1,0,43728.0,0,1
NonResidential,Medical Office,NORTHWEST,3,133298,133298,Medical Office,Medical Office,133298.0,,,,,15640994.0,1,1,0,44432.66666666666,1,0
NonResidential,Retail Store,NORTH,2,168619,168619,Retail Store,Retail Store,173106.0,,,,,6455828.5,1,1,0,84309.5,1,0
NonResidential,Mixed Use Property,LAKE UNION,5,251827,138509,"Laboratory, Office, Parking",Parking,113318.0,Laboratory,84000.0,Office,84000.0,47102428.0,3,1,0,27701.8,1,0
NonResidential,Large Office,LAKE UNION,4,175885,104500,"Office, Parking",Office,103970.0,Parking,71390.0,,,6486377.5,2,0,0,26125.0,1,0
NonResidential,Warehouse,GREATER DUWAMISH,2,104786,104786,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,104786.0,,,,,1028376.875,1,1,0,52393.0,1,0
NonResidential,Other,GREATER DUWAMISH,1,53040,11440,Other,Other,51427.0,,,,,1770027.5,1,1,0,11440.0,1,0
NonResidential,Other,GREATER DUWAMISH,1,110689,110689,Other,Other,110689.0,,,,,2339814.25,1,1,0,110689.0,1,0
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1,53620,53620,Office,Office,53620.0,,,,,2058955.25,1,1,0,53620.0,1,0
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1,50008,50008,Office,Office,50008.0,,,,,3202213.0,1,1,0,50008.0,1,0
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,4,291176,191000,"Office, Parking",Office,194674.0,Parking,111198.0,,,6657348.5,2,1,0,47750.0,1,0
NonResidential,Warehouse,GREATER DUWAMISH,1,50832,50832,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,43920.0,Office,6912.0,,,2551022.25,2,1,0,50832.0,1,0
NonResidential,Refrigerated Warehouse,GREATER DUWAMISH,1,76354,76354,Refrigerated Warehouse,Refrigerated Warehouse,76486.0,,,,,2843033.5,1,1,0,76354.0,1,0
NonResidential,Warehouse,GREATER DUWAMISH,1,98480,98480,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,98480.0,,,,,2831565.5,1,1,0,98480.0,1,0
NonResidential,Mixed Use Property,LAKE UNION,2,53002,53002,"Multifamily Housing, Parking, Restaurant, Retail Store",Retail Store,31602.0,Parking,27427.0,Multifamily Housing,18130.0,3441643.25,4,1,0,26501.0,1,0
NonResidential,Mixed Use Property,LAKE UNION,3,175918,124700,"Laboratory, Office, Parking",Office,66737.0,Parking,58218.0,Laboratory,30230.0,22530168.0,3,1,0,41566.66666666666,1,0
NonResidential,Other,LAKE UNION,3,169785,106003,"Other, Parking",Other,106003.0,Parking,63782.0,,,19155416.0,2,1,0,35334.333333333336,1,0
NonResidential,Large Office,LAKE UNION,11,124721,124721,"Food Service, Office, Parking, Restaurant",Office,107594.0,Restaurant,15600.0,Parking,12000.0,13898181.0,4,1,0,11338.272727272728,1,0
NonResidential,Small- and Mid-Sized Office,LAKE UNION,7,94002,94002,"Office, Parking",Office,93905.0,Parking,31348.0,,,5662234.0,2,0,0,13428.857142857143,1,0
NonResidential,Warehouse,GREATER DUWAMISH,1,93020,93020,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,93020.0,,,,,1252323.875,1,0,0,93020.0,1,0
NonResidential,Other,DOWNTOWN,1,23000,23000,"Office, Other",Other,20310.0,Office,2689.600098,,,711118.375,2,1,0,23000.0,0,1
NonResidential,Supermarket / Grocery Store,SOUTHEAST,1,61053,61053,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,54434.0,Parking,0.0,,,13133225.0,2,1,0,61053.0,1,0
NonResidential,Large Office,DOWNTOWN,7,154159,154159,Office,Office,193154.0,,,,,11195917.0,1,1,0,22022.714285714286,1,1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,5,78920,78920,Office,Office,78564.0,,,,,2830674.75,1,0,0,15784.0,1,1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,7,99440,99440,"Office, Retail Store",Office,65088.0,Retail Store,23857.0,,,6606832.5,2,1,0,14205.714285714286,1,1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,6,73260,73260,Office,Office,63871.0,,,,,2853189.5,1,0,0,12210.0,1,1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,4,69817,69817,"Office, Retail Store",Office,34647.0,Retail Store,26039.0,,,2178074.5,2,1,1,17454.25,1,1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,4,84750,84750,"Enclosed Mall, Office",Office,41609.0,Enclosed Mall,28734.0,,,2094724.625,2,1,0,21187.5,1,1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,6,75496,62176,"Office, Restaurant, Retail Store",Office,45799.0,Retail Store,9739.0,Restaurant,4689.0,3570161.75,3,0,0,10362.666666666666,1,1
NonResidential,Large Office,DOWNTOWN,4,164380,164380,"Office, Retail Store",Office,123607.0,Retail Store,20795.0,,,7655751.0,2,1,1,41095.0,1,1
NonResidential,Large Office,DOWNTOWN,7,160580,160580,Office,Office,160580.0,,,,,4336187.5,1,1,1,22940.0,1,1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,6,73470,73470,"Non-Refrigerated Warehouse, Office, Retail Store",Office,47145.0,Non-Refrigerated Warehouse,9477.0,Retail Store,9477.0,3212269.0,3,0,0,12245.0,1,1
Nonresidential COS,Other,DOWNTOWN,3,67755,67755,"Data Center, Office, Other, Other - Entertainment/Public Assembly",Other,33647.0,Office,19705.0,Other - Entertainment/Public Assembly,11988.0,1904480.0,4,0,0,22585.0,1,1
NonResidential,Mixed Use Property,GREATER DUWAMISH,3,56700,56700,"Distribution Center, Non-Refrigerated Warehouse, Office",Office,26250.0,Distribution Center,18050.0,Non-Refrigerated Warehouse,12400.0,2371575.0,3,1,0,18900.0,1,0
NonResidential,Warehouse,GREATER DUWAMISH,1,82852,82852,"Non-Refrigerated Warehouse, Retail Store",Non-Refrigerated Warehouse,58472.0,Retail Store,23282.0,,,2153603.5,2,1,0,82852.0,1,0
NonResidential,Other,GREATER DUWAMISH,2,76442,76442,"Distribution Center, Office, Other",Other,50500.0,Distribution Center,18000.0,Office,7604.0,3978277.0,3,1,0,38221.0,1,0
NonResidential,Distribution Center,GREATER DUWAMISH,2,92792,92792,"Distribution Center, Office",Distribution Center,85343.0,Office,13435.0,,,3155496.0,2,1,0,46396.0,1,0
NonResidential,Other,GREATER DUWAMISH,2,125519,125519,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,142901.0,,,,,2244317.0,1,0,0,62759.5,1,0
NonResidential,Large Office,GREATER DUWAMISH,4,129000,103200,Office,Office,104869.0,,,,,4374646.0,1,0,0,25800.0,1,0
NonResidential,Warehouse,GREATER DUWAMISH,1,78814,78814,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,78814.0,,,,,861972.875,1,1,0,78814.0,1,0
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,4,58970,58970,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking",Office,39870.0,Non-Refrigerated Warehouse,11600.0,Multifamily Housing,7000.0,1776411.75,4,1,0,14742.5,1,0
NonResidential,Distribution Center,GREATER DUWAMISH,6,75600,64800,"Distribution Center, Office, Parking",Distribution Center,51040.0,Office,10500.0,Parking,6000.0,2688675.75,3,0,0,10800.0,1,0
NonResidential,Distribution Center,GREATER DUWAMISH,4,56270,56270,"Distribution Center, Non-Refrigerated Warehouse, Office, Retail Store",Distribution Center,39884.0,Non-Refrigerated Warehouse,9270.0,Office,4116.0,1056782.125,4,0,0,14067.5,1,0
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,4,66842,66842,"Office, Retail Store",Office,43122.0,Retail Store,10514.0,,,5608600.5,2,1,0,16710.5,1,1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,6,75288,64488,"Office, Parking",Office,65508.0,Parking,10918.0,,,2891605.0,2,1,0,10748.0,1,1
NonResidential,Large Office,DOWNTOWN,7,184322,184322,"Data Center, Office",Office,183916.0,Data Center,406.0,,,9722890.0,2,0,0,26331.714285714286,1,1
NonResidential,Large Office,DOWNTOWN,7,287853,287853,"Office, Retail Store",Office,273812.0,Retail Store,12102.0,,,25567108.0,2,1,0,41121.857142857145,1,1
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,2,64512,64512,Office,Office,63000.0,,,,,5968153.5,1,1,0,32256.0,1,0
NonResidential,Mixed Use Property,GREATER DUWAMISH,6,286000,174226,"Distribution Center, Office, Other, Other - Recreation, Parking",Parking,111774.0,Office,108747.0,Other,49271.0,63835192.0,5,1,0,29037.666666666668,1,0
NonResidential,Warehouse,GREATER DUWAMISH,7,144050,144050,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,144050.0,,,,,3929371.0,1,1,0,20578.571428571428,1,0
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,3,60592,60592,Office,Office,60384.0,,,,,5049446.5,1,1,0,20197.33333333333,1,0
NonResidential,Large Office,GREATER DUWAMISH,6,1380959,1380959,"Non-Refrigerated Warehouse, Office, Retail Store",Office,1000730.0,Retail Store,281296.0,Non-Refrigerated Warehouse,220303.0,74130576.0,3,1,0,230159.8333333333,1,0
NonResidential,Retail Store,GREATER DUWAMISH,1,107930,107930,Retail Store,Retail Store,107704.0,,,,,7221482.5,1,1,0,107930.0,1,0
NonResidential,Warehouse,GREATER DUWAMISH,1,99084,99084,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,99084.0,,,,,1618110.375,1,1,0,99084.0,1,0
NonResidential,Distribution Center,Delridge,1,72719,72719,Distribution Center,Distribution Center,72719.0,,,,,2581741.75,1,1,0,72719.0,1,0
NonResidential,Small- and Mid-Sized Office,EAST,4,76624,76624,Office,Office,76624.0,,,,,2773647.5,1,1,0,19156.0,1,0
NonResidential,Small- and Mid-Sized Office,NORTHEAST,6,91706,55123,"Office, Other, Parking",Office,53281.0,Parking,34701.0,Other,3724.0,8570571.0,3,0,0,9187.166666666666,1,0
NonResidential,Medical Office,LAKE UNION,5,129093,89191,"Medical Office, Other, Parking",Medical Office,89131.0,Parking,37652.0,Other,5615.0,19248732.0,3,1,0,17838.2,1,0
NonResidential,Large Office,DELRIDGE,5,138106,121885,"Office, Parking",Office,119083.0,Parking,16221.0,,,8381834.5,2,0,0,24377.0,1,0
NonResidential,Retail Store,GREATER DUWAMISH,1,56572,56572,Retail Store,Retail Store,56576.0,,,,,2409429.0,1,1,0,56572.0,1,0
NonResidential,Medical Office,EAST,0,225982,225982,Medical Office,Medical Office,200184.0,,,,,20560622.0,1,0,1,,1,0
NonResidential,Mixed Use Property,DOWNTOWN,0,516407,516407,"Financial Office, Hotel, Multifamily Housing, Other, Parking, Restaurant, Supermarket/Grocery Store",Parking,385196.0,Multifamily Housing,340236.0,Hotel,67627.0,39403320.0,7,1,0,,1,1
NonResidential,Large Office,DOWNTOWN,11,312512,312512,"Data Center, Office, Restaurant",Office,303312.0,Data Center,4738.0,Restaurant,4462.0,25747022.0,3,1,0,28410.18181818182,1,1
NonResidential,Large Office,DOWNTOWN,42,1592914,1592914,"Data Center, Financial Office, Office, Parking, Restaurant",Office,914832.0,Parking,348788.0,Financial Office,303910.0,56498868.0,5,1,1,37926.52380952381,1,1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,6,97720,97720,"Data Center, Office, Retail Store",Office,51881.0,Data Center,11999.0,Retail Store,9713.0,2478025.25,3,0,0,16286.666666666666,1,1
NonResidential,Medical Office,EAST,10,422503,215923,Medical Office,Medical Office,197408.0,,,,,17254810.0,1,0,1,21592.3,1,0
NonResidential,Medical Office,CENTRAL,7,94500,94500,Medical Office,Medical Office,113739.0,,,,,5792926.0,1,0,0,13500.0,1,0
NonResidential,Retail Store,DELRIDGE,1,94713,94713,Retail Store,Retail Store,109758.0,,,,,5417598.0,1,1,0,94713.0,1,0
NonResidential,Medical Office,EAST,9,302902,201560,"Medical Office, Parking",Medical Office,201365.0,Parking,86270.0,,,14751117.0,2,1,0,22395.555555555555,1,0
NonResidential,Medical Office,EAST,19,319911,163504,"Medical Office, Parking",Medical Office,170727.0,Parking,69171.0,,,15067340.0,2,0,1,8605.473684210527,1,0
NonResidential,Large Office,DOWNTOWN,6,205521,205521,"Office, Retail Store",Office,114919.0,Retail Store,28643.0,,,8138616.5,2,1,1,34253.5,1,1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,6,56700,56700,"Office, Retail Store",Office,46000.0,Retail Store,10500.0,,,3065954.5,2,0,0,9450.0,1,1
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,4,72000,72000,Office,Office,72000.0,,,,,2729167.75,1,1,0,18000.0,1,0
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,4,191146,96254,"Office, Parking",Office,103000.0,Parking,80000.0,,,5101504.5,2,0,0,24063.5,1,0
NonResidential,Other,DELRIDGE,3,68763,57236,"Other - Recreation, Parking, Swimming Pool",Other - Recreation,50000.0,Parking,11527.0,Swimming Pool,0.0,9029489.0,3,1,0,19078.666666666668,1,0
NonResidential,Other,SOUTHEAST,1,102133,102133,"Parking, Strip Mall",Strip Mall,107427.0,Parking,0.0,,,20725996.0,2,1,0,102133.0,1,0
NonResidential,Large Office,DOWNTOWN,14,362046,362046,"Office, Other, Parking",Office,232443.0,Parking,97874.0,Other,3534.0,15725581.0,3,1,0,25860.42857142857,1,1
NonResidential,Other,MAGNOLIA / QUEEN ANNE,2,81336,81336,Lifestyle Center,Lifestyle Center,81385.0,,,,,13085297.0,1,1,0,40668.0,1,0
NonResidential,Large Office,DOWNTOWN,23,538933,538933,"Office, Parking",Office,366554.0,Parking,122821.0,,,16020642.0,2,0,0,23431.869565217392,1,1
NonResidential,Other,DOWNTOWN,6,275982,78852,"Office, Parking",Parking,197040.0,Office,78852.0,,,5233553.5,2,0,0,13142.0,1,1
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,5,98668,98668,Office,Office,98668.0,,,,,4391348.0,1,0,0,19733.6,1,0
NonResidential,Large Office,GREATER DUWAMISH,1,158931,130550,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking",Office,80157.0,Multifamily Housing,34302.0,Parking,26937.0,8751704.0,4,1,0,130550.0,1,0
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1,105100,105100,Office,Office,105100.0,,,,,22078064.0,1,1,0,105100.0,1,0
NonResidential,Supermarket / Grocery Store,MAGNOLIA / QUEEN ANNE,1,57176,57176,"Personal Services (Health/Beauty, Dry Cleaning, etc), Retail Store, Supermarket/Grocery Store",Supermarket/Grocery Store,39500.0,Retail Store,15000.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5500.0,12525174.0,5,0,0,57176.0,1,0
NonResidential,Retail Store,MAGNOLIA / QUEEN ANNE,1,50660,50660,Retail Store,Retail Store,50660.0,,,,,2661488.0,1,1,0,50660.0,1,0
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,2,61929,61929,Office,Office,39879.0,,,,,2203026.5,1,1,0,30964.5,1,0
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,4,165111,110111,"Data Center, Office, Parking",Office,104667.0,Parking,55000.0,Data Center,5444.0,25478086.0,3,0,0,27527.75,1,0
